SKU,Name,Brand,CPUSPEED,Model,FullCPUDescription,RAM,DRIVE,Colour,Touch,Resolution,Screen Size (Laptop Only),Chipset/GPU Model,Series
100,Apple MacBook Air 2017 Laptop | Intel i5-5350U 1.8GHz | 8GB RAM | 128GB SSD,Apple,1.8,MacBook Air 2017 A1466,Intel i5-5350U 1.8GHz Dual Core (5th Gen),8,128,,n,,13,,
1000,"Apple MacBook Pro 13"" 2017 | Intel i5-7360U 2.3GHz | 16GB RAM | 128GB SSD | Space Grey",Apple,2.3,"Apple MacBook Pro 13"" 2017",Intel i5-7360U 2.3GHz Dual Core (7th Gen),16,128,,n,,13,,
1001,"Apple MacBook Pro 13"" 2017 | Intel i5-7267U 3.1GHz | 16GB RAM | 250GB SSD | Screen, Keyboard & Battery",Apple,3.1,"MacBook Pro 13"" 2017 ",Intel i5-7267U 3.1GHz Dual Core (7th Gen),16,250,,n,,13,,
1002,"Apple MacBook Pro 15"" 2018 A1990 | Intel i7-8750H 2.2GHz | 16GB RAM | 500GB SSD | Space Grey",Apple,2.2," MacBook Pro 15"" 2018 A1990",Intel i7-8750H 2.2GHz Hexa Core (8th Gen),16,500,,n,,15,,
1003,"Apple MacBook Pro 15"" 2018 A1990 | Intel i7-8750H 2.2GHz | 32GB RAM | 500GB SSD | Keyboard/Battery",Apple,2.2,A1990 MacBook Pro,Intel i7-8750H 2.2GHz Hexa Core (8th Gen),32,500,,n,,15,,
1004,"Apple MacBook Pro 15"" 2018 A1990 | Intel i7-8750H 2.2GHz | 32GB RAM | 500GB SSD | Screen",Apple,2.2,A1990 MacBook Pro,Intel i7-8750H 2.2GHz Hexa Core (8th Gen),32,500,,n,,15,,
1005,"Apple MacBook Pro 15"" 2018 A1990 | Intel i7-8750H 2.2GHz | 32GB RAM | 500GB SSD",Apple,2.2,,Intel i7-8750H 2.2GHz Hexa Core (8th Gen),32,500,,n,,15,,
1006,"HP Z440 - Intel Xeon E5-1650 v3, 6C 32GB RAM 256GB SSD, 3TB HDD, Win10, WiFi",HP,3.5,Z440,"Intel Xeon E5-1650 v3 3.5GHz, 6 Cores/ 12 Threads, 3.6GHz Boost",32,256,,n,,0,,
101,HPE ProLiant MicroServer Gen10 | AMD Opteron X3216 | 16Gb RAM | 4x 6Tb HDD,HPE,1.6,ProLiant MicroServer Gen10,"AMD Opteron 3216 1.6GHz, 2 Core/ 4 GPU Cores, 3GHz Boost",16,6000,,n,,0,,
1013,Dell PowerEdge R440 Intel Xeon Silver 4210 10 Core 64Gb RAM 2x 240GBSSD 5x 2.4Tb HDD,Dell EMC,2.2,PowerEdge R440,"Intel Xeon Silver 4214 @ 2.2GHz 12 Core/ 24 Thread, 3.2GHz Boost",64,2400,,n,,0,,
1014,"Cisco 4G LTE 2.0 Enhanced High-Speed WAN Interface Card - EHWIC-4G-LTE-AU, 2x Antennas",Cisco,0,EHWIC-4G-LTE-AU,,0,0,,n,,0,,
1015,"Cisco 4G LTE 2.0 Enhanced High-Speed WAN Interface Card - EHWIC-4G-LTE-AU, No Antennas",Cisco,0,EHWIC-4G-LTE-AU,,0,0,,n,,0,,
1016,HPE OfficeConnect 1920S 24G 2SFP Switch JL381A,HPE,0,JL381A,,0,0,,n,,0,,
1017,QK761A HP 365GB MLC IO Accelerator BL Gen8 658602-001 Sold as a Pair,HPE,0,QK761A ,,0,365,,n,,0,,
1018," Cisco 4G LTE 2.5 Enhanced High-Speed Wireless WAN Interface Card - EHWIC-LTE-LA, No Antennas",Cisco,0,EHWIC-LTE-LA ,,0,0,,n,,0,,
1019,Cisco HWIC-1GE-SFP Gigabit Ethernet HWIC with One SFP Slot 800-22918-01,Cisco,0,HWIC-1GE-SFP ,,0,0,,n,,0,,
102,HP Z2 Workstation Intel Xeon E2136 6C 32Gb RAM 480Gb SSD 6TB HDD W11 WiFi Dongle,HP,3.3,Z2,"Intel Xeon E3-2136 3.3GHz/ 4.5GHz, 6 Cores/ 12 Threads",32,512,,n,,0,Nvidia Quadro P2000,
1020,"HGST 0F27385LHA2D00P7C | 10TB HDD | 3.5"" 12Gbps SAS | Firmware NA03 | NOT FOR PC",IBM/ Lenovo,0,HUH721010AL5204,,0,10000,,n,,0,,
1021,HP 695110-001 MSL LTO-5 Ultrium 3000 Fibre Channel Drive BL544B,HPE,0,HP 695110-001,,0,0,,n,,0,,
1022,Dell PowerConnect PC8100-10GSFP+ Module Quad Port 10G SFP+ PHP6J 8100,Dell,0,PHP6J ,,0,0,,n,,0,,
1028,JUNIPER EX4600 Ethernet Switch 24 x 1/10GbE and 4 QSFP+ 40GbE plus,Juniper,0,EX4600 ,,0,0,,n,,0,,
1030,"JUNIPER EX4300 24T, 1GbE and SFP+/QSFP+ uplink port options",Juniper,0,EX4300 24p,,0,0,,n,,0,,
1031,JUNIPER SRX550 Services Gateway 24-Port Gigabit Ethernet XPIM,Juniper,0,SRX550 ,,0,0,,n,,0,,
1032,"HP ProDesk 600 G6 Mini Desktop | i5 10500T 6 Core, 8Gb RAM, 256Gb M.2, WiFi W11",HP,2.3,600 G6,Intel i5 10500T 2.3GHz 6 Cores/ 12 Threads 3.8GHz Boost,8,256,,n,,0,,
1033,Dell Latitude 7490 Laptop | Intel i5-8350U 1.7GHz | 16GB RAM | 256SSD | Win 11 | Touch Screen,Dell,1.7,Dell Latitude 7490,Intel i5-8350U 1.7GHz Quad Core (8th Gen),16,256,Black,y,1920 x 1080,14,,
1035,Microsoft Surface Book 2 | Intel i5-7300U 2.6GHz | Win 10 |  8GB RAM | 256GB SSD - B Grade,Microsoft,2.6,Microsoft Surface Book 2,Intel i5-7300U Dual Core 2.6GHz (7th Gen),8,256,Silver,y,3000 x 2000,13,,
1036,HP ProBook 640 G4 Laptop | i5-8350U 1.7GHz | Win 10 | 16GB RAM | 512GB SSD,HP,2.6,ProBook 640 G4,Intel i5-8350U Quad Core 1.7GHz (8th Gen),16,512,Silver,n,1920 x 1080,14,,
1037,"Apple iMac 27"" 2015 Desktop A1419 | Intel i5-6500 3.2GHz | 16GB RAM | 1TB Fusion",Apple,3.2,A1419 iMac,Intel Core i5-6500 3.2GHz Quad Core (6th Gen),16,1000,,n,,27,,
1038,"Apple iMac 27"" 2015 Desktop A1419 | Intel i5-6600 3.3GHz | 32GB RAM | 2TB Fusion",Apple,3.3,A1419 iMac,Intel Core i5-6600 3.3GHz Quad Core (6th Gen),32,2000,,n,,27,,
1039,"Apple iMac 27"" 2017 Desktop A1419 | Intel i5-7600 3.5GHz | 32GB RAM | 1TB Fusion",Apple,3.5,A1419,Intel Core i5-7600 3.5GHz Quad Core (7th Gen),32,1000,,n,,27,,
1040,Dell PowerEdge R640 1x Intel Xeon Bronze 3104 6C 64Gb RAM 2x 240Gb SSD Windows Server 2016,Dell,1.7,R640,Intel Xeon Bronze 3104 @ 1.7GHz 6 Core/ 6 Thread,64,240,,n,,0,,
1041,"Apple iMac 27"" 2017 Desktop A1419 | Intel i5-7700K 4.2GHz | 32GB RAM | 2TB Fusion",Apple,4.2,A1419 iMac,Intel Core i5-7700 4.2GHz Quad Core (7th Gen),32,2000,,n,,27,,
1044,Dell Latitude 7400 Laptop | Intel i5-8365U 1.6GHz  | 16GB RAM 256 SSD | Win 11,Dell,1.6,Latitude 7400 ,Intel i5-8365U Quad Core 1.6GHz (8th Gen),16,256,Black,y,1920 x 1080,14,,
1045,HP Elitebook X360 1030 G4 Touch Screen Laptop | Intel i7-8665U 1.9GHz | Win 11 | 16GB RAM | 512GB SSD,HP,1.9,Elitebook X360 1030 G4,Intel i7-8665U 1.9GHz Quad Core (8th Gen),16,512,Silver,y,1920 x 1080,13,,
1049,"Lenovo ThinkVision P27h-20 27"" QHD LCD Monitor | 16:9 IPS 2560 x 1440 | D19270QP1",Lenovo,0,P27h-20,,0,0,,n,,0,,
1050,"Dell Ultrasharp U2913WM 29"" UW-FHD Monitor | 2560 x 1080 21:9 IPS LCD",Dell,0,,,0,0,,n,,29,,
1051,"Lenovo ThinkVision P27u-10 27"" 4K UHD LCD Monitor | IPS 3840 x 2160",Lenovo,0,,,0,0,,n,,0,,
1052,"Dell Ultrasharp U2917W 29"" UW-FHD Monitor | 2560 x 1080 21:9 IPS LCD",Dell,0,,,0,0,,n,,29,,
1057,CISCO C9410R | 3x C9400-LC-48U | 2x C9400-LC-48UX | 1x C9400-SUP-1,Cisco,0,"C9410R, C9400-LC-48U, C9400-LC-48UX, 1x C9400-SUP-1",,0,0,,n,,0,,
1058,HP ProDesk 600 G5 SFF PC | i5-9500 8GB RAM 256GB SSD W11 USB WiFi,Dell,3,ProDesk 600 G5,"Intel i5 9500 3.0GHz 6 Cores/ 6 Threads, 4.4GHz Boost",8,256,,n,,0,,
1059,"HP DL380 Gen10 2x Intel Xeon Gold 6130 16C, 256Gb RAM, 8x 1.92Tb 10Gbe",HPE,2.1,DL380 Gen10,"Intel Xeon Gold 6130 2.1GHz 16 Core/ 32 Thread, 3.7GHz Boost",256,0,,n,,0,,
1060,HP DL380 Gen9 2x Intel Xeon E5-2697v3 14C 512Gb RAM 2x 500GbSSD 6x 1Tb 10GBE,HPE,2.6,DL380 Gen9,"Intel Xeon E5-2697 v3 2.6GHz 14 Cores/ 28 Threads, 3.6GHz Boost",512,500,,n,,0,,
1063,"Dell PowerEdge R740xd Intel Xeon Platinum 24C, 384Gb RAM, 3x 1.92Tb SSD, 10GbE",Dell EMC,2.7,PowerEdge R740xd,"Intel Xeon Platinum 2.7GHz 24 Cores/ 48 Threads, 3.7GHz Boost",384,960,,n,,0,,
1065,JUNIPER QFX5100-48S: 48 x 1/10GbE SFP/SFP+ and 6 x 40GbE QSFP+,Juniper,0,QFX5100-48S,,0,0,,n,,0,,
1066,"Dell PowerEdge R330 Intel Xeon E3-1220v6 32Gb RAM 2x 240Gb SSD, 3x 2.4Tb HDD",Dell,3,R330,"Intel Xeon E3-1220 v6 3.0GHz, 4 Cores/ 4 Threads, 3.5GHz Boost",32,240,,n,,0,,
1067,"HP ProLiant DL160 GEN9 Intel Xeon E5-2660v4 14C 128GB RAM 2x 960Gb SSD, 5x 1.8TB HDD",HPE,2,DL160 Gen9,"Intel Xeon E5-2660 v4 2.0GHz 14 Core/ 28 Thread, 3.2GHz Boost",128,960,,n,,0,,
1068,Epson EB-1776W | Corporate Portable Multimedia Projector | 3000 Lumens,Epson,0,EB-475W,,0,0,,n,,0,,
1071,Epson EB-X21 | Portable Projector | 3000 Lumens | HDMI,Epson,0,EB-X21,,0,0,,n,,0,,
1072,"Epson EB-1780W WXGA 3LCD projector, 3000 Lumens",Epson,0,EB-1780W,,0,0,,n,,0,,
1073,NEC P401W WXGA Projector | 1280 x 800 | 3LCD,NEC,0,NP-M271W,,0,0,,n,,0,,
1074,Hitachi CP-X3041WN 3LCD XGA Conference Room Projector,Hitachi,0,CP-X3041WN,,0,0,,n,,0,,
1075,OPTOMA EX615 DLP High Brightness Multimedia Projector - With HDMI & LAN,Optoma,0,EX615,,0,0,,n,,0,,
1076,Dell 1510X DLP XGA Conference Room Projector,Dell,0,1510X,,0,0,,n,,0,,
1077,Panasonic PT-AX100E LCD Home Theatre PROJECTOR low Lamp Hours,Panasonic,0,PT-AX100E,,0,0,,n,,0,,
1078,Epson EB-1780W | WXGA 3LCD projector | 3000 Lumens | Remote,Epson,0,EB-1780W,,0,0,,n,,0,,
